timestamp, coeff0, coeff1, coeff2
0.039667,2.12,-0.004,-0.00158877
0.039667,-1.32,-0.004,-0.00158877
0.151538,2.1,-0.006,-0.00155829
0.151538,-1.3,-0.006,-0.00155829
0.252575,2.08,-0.0125,-0.00161163
0.252575,-1.3,-0.0125,-0.00161163
0.360051,2.06,-0.011,-0.00164592
0.360051,-1.32,-0.011,-0.00164592
0.463057,2,-0.0065,-0.00170307
0.463057,-1.34,-0.0065,-0.00170307
0.56742,1.98,-0.006,-0.00172974
0.56742,-1.36,-0.006,-0.00172974
0.670625,1.92,-0.006,-0.0017907
0.670625,-1.36,-0.006,-0.0017907
0.77263,1.9,-0.0045,-0.00181737
0.77263,-1.36,-0.0045,-0.00181737
0.88018,1.86,-0.0035,-0.00184785
0.88018,-1.34,-0.0035,-0.00184785
0.985161,1.96,0.0035,-0.00190881
0.985161,-1.32,0.0035,-0.00190881
1.093059,1.98,0.005,-0.00195072
1.093059,-1.3,0.005,-0.00195072
1.203209,2.46,0.0035,-0.00200787
1.203209,-1.3,0.0035,-0.00200787
1.304589,2.44,0.0025,-0.00203454
1.304589,-1.3,0.0025,-0.00203454
1.407712,2.32,-0.0265,-0.0004572
1.407712,-1.26,-0.0265,-0.0004572
1.513668,2.28,-0.0205,-0.0008763
1.513668,-1.24,-0.0205,-0.0008763
1.616244,2.24,-0.021,-0.00088011
1.616244,-1.24,-0.021,-0.00088011
1.725008,2.24,-0.0155,-0.0022479
1.725008,-1.22,-0.0155,-0.0022479
1.827707,2.2,-0.0185,-0.00220218
1.827707,-1.2,-0.0185,-0.00220218
1.930202,2.14,-0.023,-0.00211074
1.930202,-1.24,-0.023,-0.00211074
2.040546,2.1,-0.025,-0.00206121
2.040546,-1.24,-0.025,-0.00206121
2.14582,2.22,-0.018,-0.00188976
2.14582,-1.24,-0.018,-0.00188976
2.251918,2.26,-0.0095,-0.0019431
2.251918,-1.36,-0.0095,-0.0019431
2.361157,2.26,-0.0095,-0.00188976
2.361157,-1.4,-0.0095,-0.00188976
2.465279,2.24,-0.007,-0.00175641
2.465279,-1.5,-0.007,-0.00175641
2.577405,2.26,-0.004,-0.00169545
2.577405,-1.54,-0.004,-0.00169545
2.680577,2.26,-0.002,-0.00155829
2.680577,-1.6,-0.002,-0.00155829
2.787536,2.26,-0.0035,-0.00136398
2.787536,-1.64,-0.0035,-0.00136398
2.889978,2.24,-0.002,-0.00141732
2.889978,-1.64,-0.002,-0.00141732
2.999474,2.24,-0.001,-0.00111252
2.999474,-1.7,-0.001,-0.00111252
3.116059,2.24,0,-0.00104394
3.116059,-1.72,0,-0.00104394
3.226869,2.24,0.003,-0.00086106
3.226869,-1.7,0.003,-0.00086106
3.341649,2.22,0.003,-0.00080772
3.341649,-1.68,0.003,-0.00080772
3.450263,1.64,0.0065,-0.00028575
3.450263,-1.66,0.0065,-0.00028575
3.56549,1.66,0.0065,-0.00022098
3.56549,-1.66,0.0065,-0.00022098
3.676708,1.68,0.0075,-0.00015621
3.676708,-1.64,0.0075,-0.00015621
3.787359,1.7,0.0065,-4.953e-05
3.787359,-1.64,0.0065,-4.953e-05
3.900645,1.74,0.0065,-4.572e-05
3.900645,-1.62,0.0065,-4.572e-05
4.015834,1.76,0.006,-3.81e-05
4.015834,-1.62,0.006,-3.81e-05
4.129179,1.78,0.0045,-3.048e-05
4.129179,-1.58,0.0045,-3.048e-05
4.242683,1.78,0.0045,-3.429e-05
4.242683,-1.56,0.0045,-3.429e-05
4.358221,1.8,0.004,-2.286e-05
4.358221,-1.54,0.004,-2.286e-05
4.470018,1.82,0.0035,-1.143e-05
4.470018,-1.52,0.0035,-1.143e-05
4.582268,1.84,0.003,-7.62e-06
4.582268,-1.52,0.003,-7.62e-06
4.692528,1.86,0.002,0
4.692528,-1.5,0.002,0
4.803321,1.86,0.0015,0
4.803321,-1.5,0.0015,0
4.918828,1.88,0.001,0
4.918828,-1.5,0.001,0
5.027949,1.88,0,0
5.027949,-1.5,0,0
5.141522,1.86,-0.0025,0
5.141522,-1.52,-0.0025,0
5.252879,1.86,-0.003,-7.62e-06
5.252879,-1.54,-0.003,-7.62e-06
5.359604,1.84,-0.006,-7.62e-06
