# framepath,image_u,image_v,width,height,confidence,classId,className,frameId
02000.png,548,436,44,30,0.871582,2,car,2000
02000.png,595,425,22,16,0.752441,2,car,2000
02000.png,1133.5,441,91,43,0.714355,2,car,2000
02000.png,1196,419,52,26,0.677734,2,car,2000
02000.png,620.5,430,27,22,0.638672,2,car,2000
02000.png,1085,419,68,29,0.594238,2,car,2000
02000.png,943.5,427,81,42,0.761719,5,bus,2000
02000.png,399.5,487,195,174,0.822754,7,truck,2000
02001.png,548,436,44,30,0.868164,2,car,2001
02001.png,595,425,22,16,0.750977,2,car,2001
02001.png,1136,441,92,43,0.686523,2,car,2001
02001.png,1201,419,50,25,0.67041,2,car,2001
02001.png,620.5,430,27,22,0.633301,2,car,2001
02001.png,944,427,82,42,0.746582,5,bus,2001
02001.png,399,485,196,172,0.824707,7,truck,2001
02002.png,548,437,44,30,0.876953,2,car,2002
02002.png,1138.5,442,93,43,0.734863,2,car,2002
02002.png,595.5,426,21,16,0.705078,2,car,2002
02002.png,1203,421,52,27,0.668457,2,car,2002
02002.png,620.5,430,27,22,0.593262,2,car,2002
02002.png,946.5,429,81,43,0.82373,5,bus,2002
02002.png,399,487,198,174,0.827637,7,truck,2002
02003.png,549,437,44,30,0.882324,2,car,2003
02003.png,1140,442,92,44,0.761719,2,car,2003
02003.png,595.5,425,21,16,0.70166,2,car,2003
02003.png,1218.5,419,31,25,0.69873,2,car,2003
02003.png,1266,406,26,17,0.681152,2,car,2003
02003.png,620.5,430,27,22,0.597168,2,car,2003
02003.png,948.5,427,81,42,0.768555,5,bus,2003
02003.png,399.5,488,197,175,0.824707,7,truck,2003
02004.png,549,437,44,30,0.879395,2,car,2004
02004.png,595.5,426,21,16,0.723633,2,car,2004
02004.png,1268.5,406,23,17,0.663574,2,car,2004
02004.png,1216,419,42,25,0.628418,2,car,2004
02004.png,620.5,430,27,22,0.619141,2,car,2004
02004.png,1143,442,96,44,0.504395,2,car,2004
02004.png,951,428,84,42,0.735352,5,bus,2004
02004.png,399.5,488,197,175,0.821777,7,truck,2004
02005.png,548.5,437,45,30,0.870605,2,car,2005
02005.png,595.5,426,21,16,0.720703,2,car,2005
02005.png,620.5,430,27,22,0.654297,2,car,2005
02005.png,1223.5,419,35,25,0.641113,2,car,2005
02005.png,1270,406,20,16,0.63623,2,car,2005
02005.png,1145.5,444,97,45,0.591797,2,car,2005
02005.png,952,428,82,43,0.800293,5,bus,2005
02005.png,399,488,198,176,0.834961,7,truck,2005
02005.png,1098.5,421,69,31,0.629883,7,truck,2005
02006.png,1014,423,10,19,0.525391,0,person,2006
02006.png,549,438,44,30,0.880371,2,car,2006
02006.png,1146,443,92,44,0.833008,2,car,2006
02006.png,595.5,426,21,16,0.760742,2,car,2006
02006.png,621,431,26,22,0.709961,2,car,2006
02006.png,1225,419,42,26,0.635742,2,car,2006
02006.png,1271,406,18,15,0.62207,2,car,2006
02006.png,954,429,82,44,0.658203,5,bus,2006
02006.png,399.5,487,197,174,0.805664,7,truck,2006
02006.png,1101,421,70,32,0.559082,7,truck,2006
02007.png,549.5,439,43,31,0.875488,2,car,2007
02007.png,1150.5,443,93,44,0.84375,2,car,2007
02007.png,595,426,22,16,0.77002,2,car,2007
02007.png,621,431,26,22,0.746094,2,car,2007
02007.png,1223.5,420,53,25,0.61377,2,car,2007
02007.png,1271,407,14,13,0.508789,2,car,2007
02007.png,399.5,489,197,176,0.82959,7,truck,2007
02007.png,1106,421,68,31,0.515137,7,truck,2007
02008.png,549.5,439,43,31,0.877441,2,car,2008
02008.png,1151.5,443,95,44,0.873047,2,car,2008
02008.png,595.5,426,21,16,0.787598,2,car,2008
02008.png,621,431,26,22,0.736816,2,car,2008
